groupStudy paul 20230501 1800 1.0 mary lucy
projectMeeting paul 20230501 1800 2.0 lucy
privateTime paul 20230501 1900 1.0 mary
gathering paul 20230501 2000 1.0 mary
groupStudy paul 20230501 2000 2.0 mary
groupStudy paul 20230501 1800 1.0 mary lucy
projectMeeting paul 20230501 1800 2.0 lucy
privateTime paul 20230501 1900 1.0 mary
gathering paul 20230501 2000 1.0 mary
groupStudy paul 20230501 2000 2.0 mary
groupStudy paul 20230501 1800 1.0 mary lucy
projectMeeting paul 20230501 1800 2.0 lucy
privateTime paul 20230501 1900 1.0 mary
gathering paul 20230501 2000 1.0 mary
groupStudy paul 20230501 2000 2.0 mary
groupStudy paul 20230501 1800 1.0 mary lucy
groupStudy lucy 20230501 1800 1.0 paul
groupStudy paul 20230501 1800 1.0 mary lucy
groupStudy paul 20230501 1800 1.0 mary lucy
groupStudy paul 20230501 1800 1.0 mary lucy
groupStudy paul 20230501 1800 1.0 mary lucy
projectMeeting paul 20230501 1800 2.0 lucy
privateTime paul 20230501 1900 1.0 mary
gathering paul 20230501 2000 1.0 mary
groupStudy paul 20230501 2000 2.0 mary
groupStudy paul 20230501 1800 1.0 mary mike
groupStudy mike 20230501 2000 2.0 mary
groupStudy mike 20230501 2000 2.0 mary
groupStudy paul 20230501 1800 1.0 mary mike
groupStudy paul 20230501 1800 1.0 mary lucy
projectMeeting paul 20230501 1800 2.0 lucy
privateTime paul 20230501 1900 1.0 mary
gathering paul 20230501 2000 1.0 mary
groupStudy paul 20230501 2000 2.0 mary
groupStudy paul 20230501 1800 1.0 mary lucy
projectMeeting paul 20230501 1800 2.0 lucy
privateTime paul 20230501 1900 1.0 mary
gathering paul 20230501 2000 1.0 mary
groupStudy paul 20230501 2000 2.0 mary
groupStudy paul 20230501 1800 1.0 mary lucy
projectMeeting paul 20230501 1800 2.0 lucy
privateTime paul 20230501 1900 1.0 mary
gathering paul 20230501 2000 1.0 mary
groupStudy paul 20230501 2000 2.0 mary
groupStudy paul 20230501 1800 1.0 mary lucy
projectMeeting paul 20230501 1800 2.0 lucy
privateTime paul 20230501 1900 1.0 mary
gathering paul 20230501 2000 1.0 mary
groupStudy paul 20230501 2000 2.0 mary
groupStudy paul 20230501 1800 1.0 mary lucy
projectMeeting paul 20230501 1800 2.0 lucy
privateTime paul 20230501 1900 1.0 mary
gathering paul 20230501 2000 1.0 mary
groupStudy paul 20230501 2000 2.0 mary
groupStudy paul 20230501 1800 1.0 mary lucy
projectMeeting paul 20230501 1800 2.0 lucy
privateTime paul 20230501 1900 1.0 mary
gathering paul 20230501 2000 1.0 mary
groupStudy paul 20230501 2000 2.0 mary
groupStudy paul 20230502 1800 1.0 mary lucy
groupStudy paul 20230503 1800 1.0 mary lucy
groupStudy paul 20230503 1800 1.0 mary lucy
